,total discharge (t)  end B
2020/4/1 4:00,-4.261661
2020/4/1 4:10,-4.558384
2020/4/1 4:20,-4.708053
2020/4/1 4:30,-4.662733
2020/4/1 4:40,-4.663896
2020/4/1 4:50,-4.608257
2020/4/1 5:00,-4.346306
2020/4/1 5:10,-3.975344
2020/4/1 5:20,-3.461471
2020/4/1 5:30,2.548877
2020/4/1 5:40,1.752603
2020/4/1 5:50,0.7932689
2020/4/1 6:00,0.1141513
2020/4/1 6:10,1.273425
2020/4/1 6:20,2.298486
2020/4/1 6:30,2.665268
2020/4/1 6:40,2.601188
2020/4/1 6:50,2.849072
2020/4/1 7:00,3.295688
2020/4/1 7:10,3.272864
2020/4/1 7:20,2.971357
2020/4/1 7:30,2.708838
2020/4/1 7:40,2.842396
2020/4/1 7:50,2.606867
2020/4/1 8:00,2.481687
2020/4/1 8:10,2.264907
2020/4/1 8:20,2.073062
2020/4/1 8:30,1.758189
2020/4/1 8:40,1.580792
2020/4/1 8:50,1.547939
2020/4/1 9:00,1.835407
2020/4/1 9:10,1.921621
2020/4/1 9:20,1.80279
2020/4/1 9:30,1.693748
2020/4/1 9:40,1.441015
2020/4/1 9:50,1.384341
2020/4/1 10:00,-1.020575
2020/4/1 10:10,-0.2425777
2020/4/1 10:20,0
2020/4/1 10:30,-0.9733598
2020/4/1 10:40,-2.372786
2020/4/1 10:50,-3.294129
2020/4/1 11:00,-3.910095
2020/4/1 11:10,-4.497565
2020/4/1 11:20,-5.244486
2020/4/1 11:30,-5.740469
2020/4/1 11:40,-6.211742
2020/4/1 11:50,-6.789248
2020/4/1 12:00,-7.386083
2020/4/1 12:10,-7.994678
2020/4/1 12:20,-8.745246
2020/4/1 12:30,-9.477151
2020/4/1 12:40,-10.19986
2020/4/1 12:50,-10.76072
2020/4/1 13:00,-11.37644
2020/4/1 13:10,-11.85794
2020/4/1 13:20,-12.49317
2020/4/1 13:30,-12.49249
2020/4/1 13:40,-12.71829
2020/4/1 13:50,-12.72282
2020/4/1 14:00,-12.99106
2020/4/1 14:10,-12.82877
2020/4/1 14:20,-12.79852
2020/4/1 14:30,-12.11427
2020/4/1 14:40,-11.48574
2020/4/1 14:50,-10.161
2020/4/1 15:00,-8.923425
2020/4/1 15:10,-7.501143
2020/4/1 15:20,-6.186653
2020/4/1 15:30,-5.050862
2020/4/1 15:40,3.33468
2020/4/1 15:50,1.640827
2020/4/1 16:00,0.5574155
2020/4/1 16:10,3.650344
2020/4/1 16:20,5.565723
2020/4/1 16:30,6.240243
2020/4/1 16:40,6.241043
2020/4/1 16:50,6.95833
2020/4/1 17:00,7.064772
2020/4/1 17:10,7.106212
2020/4/1 17:20,7.375458
2020/4/1 17:30,7.274341
2020/4/1 17:40,7.401245
2020/4/1 17:50,6.834787
2020/4/1 18:00,7.338298
2020/4/1 18:10,7.221842
2020/4/1 18:20,7.080938
2020/4/1 18:30,6.943358
2020/4/1 18:40,6.692422
2020/4/1 18:50,6.561557
2020/4/1 19:00,6.424492
2020/4/1 19:10,6.38491
2020/4/1 19:20,6.508351
2020/4/1 19:30,6.800148
2020/4/1 19:40,7.097628
2020/4/1 19:50,7.415204
2020/4/1 20:00,7.719668
2020/4/1 20:10,7.944578
2020/4/1 20:20,8.231385
2020/4/1 20:30,8.362221
2020/4/1 20:40,8.479783
2020/4/1 20:50,8.654927
2020/4/1 21:00,8.789836
2020/4/1 21:10,8.276391
2020/4/1 21:20,8.395787
2020/4/1 21:30,8.461831
2020/4/1 21:40,8.559252
2020/4/1 21:50,8.637054
2020/4/1 22:00,8.719407
2020/4/1 22:10,8.701675
2020/4/1 22:20,8.67738
2020/4/1 22:30,8.647689
2020/4/1 22:40,8.516193
2020/4/1 22:50,7.900728
2020/4/1 23:00,7.765294
2020/4/1 23:10,7.667643
2020/4/1 23:20,7.554208
2020/4/1 23:30,7.482898
2020/4/1 23:40,7.344443
2020/4/1 23:50,7.114762
2020/4/2 0:00,6.768772
2020/4/2 0:10,6.544102
2020/4/2 0:20,6.219389
2020/4/2 0:30,6.256284
2020/4/2 0:40,5.751149
2020/4/2 0:50,5.273235
2020/4/2 1:00,4.7247
2020/4/2 1:10,4.140609
2020/4/2 1:20,3.484621
2020/4/2 1:30,2.274932
2020/4/2 1:40,1.243064
2020/4/2 1:50,0.2580198
2020/4/2 2:00,-0.5927174
2020/4/2 2:10,-2.746243
2020/4/2 2:20,-2.715718
2020/4/2 2:30,-2.872
2020/4/2 2:40,-2.979342
2020/4/2 2:50,-3.142302
2020/4/2 3:00,-3.431746
2020/4/2 3:10,-3.754297
2020/4/2 3:20,-3.857266
2020/4/2 3:30,-4.022036
2020/4/2 3:40,-4.210362
2020/4/2 3:50,-3.622246
2020/4/2 4:00,-3.761266
2020/4/2 4:10,-4.010557
2020/4/2 4:20,-4.420698
2020/4/2 4:30,-4.809513
2020/4/2 4:40,-5.248635
2020/4/2 4:50,-5.507562
2020/4/2 5:00,-5.7977
2020/4/2 5:10,-5.958141
2020/4/2 5:20,-6.128048
2020/4/2 5:30,-6.135895
2020/4/2 5:40,-6.138688
2020/4/2 5:50,-6.112449
2020/4/2 6:00,-6.064307
2020/4/2 6:10,-5.859837
2020/4/2 6:20,-5.564427
2020/4/2 6:30,-5.149242
2020/4/2 6:40,-4.742379
2020/4/2 6:50,-4.174876
2020/4/2 7:00,-3.570583
2020/4/2 7:10,-2.930806
2020/4/2 7:20,-2.687511
2020/4/2 7:30,-2.380185
2020/4/2 7:40,-1.628236
2020/4/2 7:50,-1.014184
2020/4/2 8:00,-0.8632824
2020/4/2 8:10,-0.5813078
2020/4/2 8:20,-0.4229416
2020/4/2 8:30,-0.07250907
2020/4/2 8:40,0.3340833
2020/4/2 8:50,1.20201
2020/4/2 9:00,1.872869
